Name;Code;Barcode;Symbology;Brand;Category Code;Unit Code;Sale Unit Code;Purchase Unit Code;Cost;Price;Alert Quantity;Tax Rate Name;Tax Method;Image;Subcategory Code;Product Variants Separated by |;Custom Field 1;Custom Field 2;Custom Field 3;Custom Field 4;Custom Field 5;Custom Field 6;HSN Code
Keripik Emak CW;102;;;Barang Dagang;;Bungkus;Bungkus;Bungkus;0;20000;0;PB1@10%;Termasuk;;;;;;;;;;
Keju Kraft Single 5 (Pcs);103;;;Barang Dagang;;Bungkus;Bungkus;Bungkus;0;13000;0;PB1@10%;Termasuk;;;;;;;;;;
Keripik Kentang Original;104;;;Barang Dagang;;Bungkus;Bungkus;Bungkus;0;20000;0;PB1@10%;Termasuk;;;;;;;;;;
Keripik Kentang Pedas Manis;105;;;Barang Dagang;;Bungkus;Bungkus;Bungkus;0;20000;0;PB1@10%;Termasuk;;;;;;;;;;
Keripik Ubi Putih Original;106;;;Barang Dagang;;Bungkus;Bungkus;Bungkus;0;20000;0;PB1@10%;Termasuk;;;;;;;;;;
Keripik Ubi Putih Pedas;107;;;Barang Dagang;;Bungkus;Bungkus;Bungkus;0;20000;0;PB1@10%;Termasuk;;;;;;;;;;
Keripik Pisang;108;;;Barang Dagang;;Bungkus;Bungkus;Bungkus;0;20000;0;PB1@10%;Termasuk;;;;;;;;;;
Bolu Gulung Rotte;1001;;;Rotte Bakery ;;Pcs;Pcs;Pcs;0;33000;5;PB1@10%;Termasuk;;;;;;;;;;
Bolu Besar Rotte;1002;;;Rotte Bakery ;;Pcs;Pcs;Pcs;0;55000;5;PB1@10%;Termasuk;;;;;;;;;;
Muffin Vanila Berry;1003;;;Rotte Bakery ;;Pcs;Pcs;Pcs;0;10000;5;PB1@10%;Termasuk;;;;;;;;;;
Muffin Double Chocolate;1004;;;Rotte Bakery ;;Pcs;Pcs;Pcs;0;10000;5;PB1@10%;Termasuk;;;;;;;;;;
Roti Sosis Abon Mini;1005;;;Rotte Bakery ;;Pcs;Pcs;Pcs;0;4500;0;PB1@10%;Termasuk;;;;;;;;;;
Roti Sosis Keju Mini;1006;;;Rotte Bakery ;;Pcs;Pcs;Pcs;0;4500;0;PB1@10%;Termasuk;;;;;;;;;;
Roti Isi Daging;1007;;;Rotte Bakery ;;Pcs;Pcs;Pcs;0;10000;0;PB1@10%;Termasuk;;;;;;;;;;
Donat Isi Ayam;1008;;;Rotte Bakery ;;Pcs;Pcs;Pcs;0;8000;0;PB1@10%;Termasuk;;;;;;;;;;
Chocolate Coffee Toast;1009;;;Rotte Bakery ;;Pcs;Pcs;Pcs;0;4000;0;PB1@10%;Termasuk;;;;;;;;;;
Almond Cheese Coffee Toast ;1010;;;Rotte Bakery ;;Pcs;Pcs;Pcs;0;4000;0;PB1@10%;Termasuk;;;;;;;;;;
Donat Premium;1011;;;Rotte Bakery ;;Pcs;Pcs;Pcs;0;7000;0;PB1@10%;Termasuk;;;;;;;;;;
